query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
lp_0256,220668.lp_0256,1.30E-211,585,"COG0031@1|root,COG0031@2|Bacteria,1TP30@1239|Firmicutes,4HAMU@91061|Bacilli,3F4VD@33958|Lactobacillaceae",2|Bacteria,E,Belongs to the cysteine synthase cystathionine beta- synthase family,mccA,"GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0004122,GO:0004124,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006534,GO:0006535,GO:0006563,GO:0006790,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008284,GO:0008652,GO:0009058,GO:0009069,GO:0009070,GO:0009987,GO:0016053,GO:0016740,GO:0016765,GO:0016829,GO:0016835,GO:0016836,GO:0016846,GO:0019344,GO:0019752,GO:0019842,GO:0030170,GO:0036094,GO:0042127,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0048037,GO:0048518,GO:0048522,GO:0050662,GO:0050789,GO:0050794,GO:0065007,GO:0070279,GO:0071704,GO:0080146,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607","2.5.1.134,2.5.1.47","ko:K01738,ko:K17216","ko00270,ko00920,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00270,map00920,map01100,map01110,map01120,map01130,map01200,map01230","M00021,M00609","R00897,R03601,R04859,R10305","RC00020,RC00069,RC02814,RC02821","ko00000,ko00001,ko00002,ko01000",-,-,iSB619.SA_RS02385,PALP
lp_0257,220668.lp_0257,6.72E-203,560,"COG0024@1|root,COG0024@2|Bacteria,1TQC1@1239|Firmicutes,4H9S9@91061|Bacilli,3F3MK@33958|Lactobacillaceae",2|Bacteria,E,Methionine Aminopeptidase,map,"GO:0000096,GO:0003674,GO:0003824,GO:0004177,GO:0005488,GO:0005506,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006464,GO:0006508,GO:0006520,GO:0006555,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008198,GO:0008233,GO:0008235,GO:0008237,GO:0008238,GO:0009066,GO:0009987,GO:0010467,GO:0016151,GO:0016485,GO:0016787,GO:0019538,GO:0019752,GO:0030145,GO:0035551,GO:0036211,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0050897,GO:0051604,GO:0070006,GO:0070011,GO:0070084,GO:0071704,GO:0140096,GO:1901564,GO:1901605",3.4.11.18,ko:K01265,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,"Peptidase_M24,SEC-C"
lp_0259,220668.lp_0259,7.14E-184,511,"COG3201@1|root,COG3201@2|Bacteria,1VE5T@1239|Firmicutes,4HMNW@91061|Bacilli,3F3MB@33958|Lactobacillaceae",2|Bacteria,H,nicotinamide mononucleotide transporter,pnuC,-,-,ko:K03811,-,-,-,-,"ko00000,ko02000",4.B.1.1,-,-,NMN_transporter
lp_0260,220668.lp_0260,7.55E-58,179,"COG3877@1|root,COG3877@2|Bacteria,1VGSH@1239|Firmicutes,4HQ68@91061|Bacilli,3F84H@33958|Lactobacillaceae",2|Bacteria,S,Protein of unknown function (DUF2089),-,-,-,-,-,-,-,-,-,-,-,-,DUF2089
lp_0261,220668.lp_0261,1.10E-56,176,"2FGRX@1|root,348MC@2|Bacteria,1VYT7@1239|Firmicutes,4HY30@91061|Bacilli,3F8YI@33958|Lactobacillaceae",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lp_0262,220668.lp_0262,6.84E-166,464,"COG2188@1|root,COG2188@2|Bacteria,1TRF6@1239|Firmicutes,4HDCX@91061|Bacilli,3F62J@33958|Lactobacillaceae",2|Bacteria,K,UTRA,treR,-,-,"ko:K03486,ko:K03492,ko:K03710",-,-,-,-,"ko00000,ko03000",-,-,-,"GntR,UTRA"
lp_0263,220668.lp_0263,0,1138,"COG0366@1|root,COG0366@2|Bacteria,1TP53@1239|Firmicutes,4HA1G@91061|Bacilli,3F41I@33958|Lactobacillaceae",2|Bacteria,G,"Alpha amylase, catalytic domain protein",treC,"GO:0003674,GO:0003824,GO:0004553,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005984,GO:0005991,GO:0005993,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008788,GO:0009056,GO:0009311,GO:0009313,GO:0009987,GO:0015927,GO:0016052,GO:0016787,GO:0016798,GO:0033554,GO:0044237,GO:0044238,GO:0044248,GO:0044262,GO:0044275,GO:0044424,GO:0044444,GO:0044464,GO:0046352,GO:0050896,GO:0051716,GO:0071704,GO:1901575","3.2.1.1,3.2.1.10,3.2.1.20,3.2.1.70,3.2.1.93,5.4.99.16","ko:K01182,ko:K01187,ko:K01215,ko:K01226,ko:K05343","ko00052,ko00500,ko01100,map00052,map00500,map01100",-,"R00028,R00801,R00802,R00837,R01557,R01718,R01791,R02108,R02112,R06087,R06088,R06113,R06199,R11262","RC00028,RC00049,RC00059,RC00077,RC00451,RC01816","ko00000,ko00001,ko01000",-,"GH13,GH31","iECW_1372.ECW_m4600,iEKO11_1354.EKO11_4072,iEcE24377_1341.EcE24377A_4811,iEcSMS35_1347.EcSMS35_4720,iWFL_1372.ECW_m4600","Alpha-amylase,DUF3459,Malt_amylase_C"
lp_0264,220668.lp_0264,0,1266,"COG1263@1|root,COG1264@1|root,COG2190@1|root,COG1263@2|Bacteria,COG1264@2|Bacteria,COG2190@2|Bacteria,1TP5X@1239|Firmicutes,4HA0I@91061|Bacilli,3F458@33958|Lactobacillaceae",2|Bacteria,G,phosphotransferase system,treB,-,"2.7.1.193,2.7.1.211","ko:K02755,ko:K02756,ko:K02757,ko:K02777,ko:K02802,ko:K02803,ko:K02804,ko:K02808,ko:K02809,ko:K02810","ko00010,ko00500,ko00520,ko02026,ko02060,ko05111,map00010,map00500,map00520,map02026,map02060,map05111","M00265,M00266,M00267,M00268,M00269,M00270,M00271,M00272,M00303,M00806","R00811,R02738,R02780,R04111,R04394,R05132,R05199,R08559","RC00017,RC03206","ko00000,ko00001,ko00002,ko01000,ko02000","4.A.1.1.1,4.A.1.1.15,4.A.1.1.2,4.A.1.1.5,4.A.1.1.7,4.A.1.2.1,4.A.1.2.10,4.A.1.2.11,4.A.1.2.12,4.A.1.2.2,4.A.1.2.5,4.A.1.2.6,4.A.1.2.9",-,-,"PTS_EIIA_1,PTS_EIIB,PTS_EIIC"
lp_0265,220668.lp_0265,0,1199,"COG1263@1|root,COG1264@1|root,COG2190@1|root,COG1263@2|Bacteria,COG1264@2|Bacteria,COG2190@2|Bacteria,1TP5X@1239|Firmicutes,4HA0I@91061|Bacilli,3F5R5@33958|Lactobacillaceae",2|Bacteria,G,"phosphotransferase system, EIIB",pts5ABC,-,"2.7.1.193,2.7.1.211","ko:K02755,ko:K02756,ko:K02757,ko:K02777,ko:K02802,ko:K02803,ko:K02804,ko:K02808,ko:K02809,ko:K02810","ko00010,ko00500,ko00520,ko02026,ko02060,ko05111,map00010,map00500,map00520,map02026,map02060,map05111","M00265,M00266,M00267,M00268,M00269,M00270,M00271,M00272,M00303,M00806","R00811,R02738,R02780,R04111,R04394,R05132,R05199,R08559","RC00017,RC03206","ko00000,ko00001,ko00002,ko01000,ko02000","4.A.1.1.1,4.A.1.1.15,4.A.1.1.2,4.A.1.1.5,4.A.1.1.7,4.A.1.2.1,4.A.1.2.10,4.A.1.2.11,4.A.1.2.12,4.A.1.2.2,4.A.1.2.5,4.A.1.2.6,4.A.1.2.9",-,-,"PTS_EIIA_1,PTS_EIIB,PTS_EIIC"
lp_0266,220668.lp_0266,2.60E-185,515,"2F4SR@1|root,33XFD@2|Bacteria,1VW0F@1239|Firmicutes,4HWCG@91061|Bacilli,3F6TR@33958|Lactobacillaceae",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lp_0267,220668.lp_0267,1.21E-94,275,"COG0615@1|root,COG0615@2|Bacteria,1V3KY@1239|Firmicutes,4HGWZ@91061|Bacilli,3F65R@33958|Lactobacillaceae",2|Bacteria,IM,Glycerol-3-phosphate cytidylyltransferase,tagD,-,"2.7.7.15,2.7.7.39","ko:K00968,ko:K00980","ko00440,ko00564,ko01100,ko05231,map00440,map00564,map01100,map05231",M00090,"R00856,R01890,R02590",RC00002,"ko00000,ko00001,ko00002,ko01000",-,-,-,CTP_transf_like
lp_0268,220668.lp_0268,1.40E-306,833,"COG1887@1|root,COG1887@2|Bacteria,1TP75@1239|Firmicutes,4H9Q1@91061|Bacilli,3FC1J@33958|Lactobacillaceae",2|Bacteria,M,glycerophosphotransferase,tagB,"GO:0003674,GO:0003824,GO:0016740,GO:0016757","2.7.8.12,2.7.8.45","ko:K09809,ko:K21591",-,-,R11612,-,"ko00000,ko01000",-,-,-,Glyphos_transf
lp_0269,220668.lp_0269,0,1890,"COG0438@1|root,COG1887@1|root,COG0438@2|Bacteria,COG1887@2|Bacteria,1TSEW@1239|Firmicutes,4HCKN@91061|Bacilli,3F8U6@33958|Lactobacillaceae",2|Bacteria,H,CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase,tagF2,-,2.7.8.12,ko:K09809,-,-,-,-,"ko00000,ko01000",-,-,-,"Glyco_transf_4,Glycos_transf_1,Glyphos_transf"
lp_0271,220668.lp_0271,3.37E-129,367,"COG0163@1|root,COG0163@2|Bacteria,1V3JV@1239|Firmicutes,4HFZX@91061|Bacilli,3F5PD@33958|Lactobacillaceae",2|Bacteria,H,Flavin prenyltransferase that catalyzes the synthesis of the prenylated FMN cofactor (prenyl-FMN) for 4-hydroxy-3- polyprenylbenzoic acid decarboxylase UbiD. The prenyltransferase is metal-independent and links a dimethylallyl moiety from dimethylallyl monophosphate (DMAP) to the flavin N5 and C6 atoms of FMN,ubiX,"GO:0003674,GO:0003824,GO:0006732,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009987,GO:0016829,GO:0016830,GO:0016831,GO:0044237,GO:0044249,GO:0051186,GO:0051188",2.5.1.129,ko:K03186,"ko00130,ko00627,ko00940,ko01100,ko01110,ko01120,ko01220,map00130,map00627,map00940,map01100,map01110,map01120,map01220",M00117,"R01238,R02952,R03367,R04985,R04986,R11225","RC00391,RC00814,RC03392","ko00000,ko00001,ko00002,ko01000",-,-,-,Flavoprotein
lp_0272,220668.lp_0272,2.34E-93,272,"2F603@1|root,33YIJ@2|Bacteria,1VX0V@1239|Firmicutes,4HXF9@91061|Bacilli,3F6YU@33958|Lactobacillaceae",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lp_0273,220668.lp_0273,8.90E-96,279,"COG1959@1|root,COG1959@2|Bacteria,1V6FK@1239|Firmicutes,4HKZD@91061|Bacilli,3F73Q@33958|Lactobacillaceae",2|Bacteria,K,Transcriptional regulator,ywnA,-,-,-,-,-,-,-,-,-,-,-,Rrf2
lp_0274,220668.lp_0274,5.20E-156,438,"COG1309@1|root,COG1309@2|Bacteria,1V3R8@1239|Firmicutes,4I42T@91061|Bacilli,3F5TD@33958|Lactobacillaceae",2|Bacteria,K,"Bacterial regulatory proteins, tetR family",ycfA,-,-,-,-,-,-,-,-,-,-,-,TetR_N
lp_0275,220668.lp_0275,3.75E-294,807,"COG1914@1|root,COG1914@2|Bacteria,1TPT1@1239|Firmicutes,4HAEA@91061|Bacilli,3F49Y@33958|Lactobacillaceae",2|Bacteria,P,"H( )-stimulated, divalent metal cation uptake system",mntH,"GO:0008150,GO:0009987,GO:0010035,GO:0010038,GO:0010039,GO:0042221,GO:0050896,GO:0051716,GO:0070887,GO:0071241,GO:0071248,GO:0071281",-,ko:K03322,-,-,-,-,"ko00000,ko02000","2.A.55.2.6,2.A.55.3",-,-,Nramp
lp_0276,220668.lp_0276,1.15E-152,429,"29V56@1|root,30GIU@2|Bacteria,1UG55@1239|Firmicutes,4IF3C@91061|Bacilli,3F5HR@33958|Lactobacillaceae",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lp_0277,220668.lp_0277,2.50E-58,181,"29PEH@1|root,30ACP@2|Bacteria,1U6GU@1239|Firmicutes,4IG90@91061|Bacilli,3F7W4@33958|Lactobacillaceae",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lp_0279,220668.lp_0279,1.55E-55,172,"2900D@1|root,30A4B@2|Bacteria,1U66B@1239|Firmicutes,4IFWH@91061|Bacilli,3F767@33958|Lactobacillaceae",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lp_0280,220668.lp_0280,0,881,"COG0477@1|root,COG2814@2|Bacteria,1TPRN@1239|Firmicutes,4HBXJ@91061|Bacilli,3F4D4@33958|Lactobacillaceae",2|Bacteria,EGP,Major Facilitator,ydiC1,-,-,-,-,-,-,-,-,-,-,-,MFS_1
lp_0281,220668.lp_0281,2.20E-86,254,"COG0789@1|root,COG0789@2|Bacteria,1U6QY@1239|Firmicutes,4IGI8@91061|Bacilli,3F8C1@33958|Lactobacillaceae",2|Bacteria,K,"helix_turn_helix, mercury resistance",-,-,-,-,-,-,-,-,-,-,-,-,"Cass2,MerR_1"
lp_0282,220668.lp_0282,0,866,"COG0642@1|root,COG2205@2|Bacteria,1VU2I@1239|Firmicutes,4HHZT@91061|Bacilli,3F475@33958|Lactobacillaceae",2|Bacteria,T,Histidine kinase,hpk2,-,-,-,-,-,-,-,-,-,-,-,"HATPase_c,HisKA"
lp_0283,220668.lp_0283,6.61E-166,464,"COG0745@1|root,COG0745@2|Bacteria,1TS81@1239|Firmicutes,4H9NE@91061|Bacilli,3F3JF@33958|Lactobacillaceae",2|Bacteria,K,"Transcriptional regulatory protein, C terminal",rrp2,-,-,-,-,-,-,-,-,-,-,-,"Response_reg,Trans_reg_C"
lp_0284,220668.lp_0284,2.42E-65,198,"29P4U@1|root,30A31@2|Bacteria,1U64G@1239|Firmicutes,4IFU0@91061|Bacilli,3F70P@33958|Lactobacillaceae",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lp_0285,220668.lp_0285,1.96E-167,468,"COG1737@1|root,COG1737@2|Bacteria,1TS9A@1239|Firmicutes,4HCBF@91061|Bacilli,3F6D3@33958|Lactobacillaceae",2|Bacteria,K,"Helix-turn-helix domain, rpiR family",yidA,-,-,-,-,-,-,-,-,-,-,-,"HTH_6,SIS"
lp_0286,220668.lp_0286,2.39e-311,849,"COG1455@1|root,COG1455@2|Bacteria,1TP8D@1239|Firmicutes,4H9W2@91061|Bacilli,3F3Q4@33958|Lactobacillaceae",2|Bacteria,G,"The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS), a major carbohydrate active - transport system, catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane",licC,-,-,ko:K02761,"ko00500,ko02060,map00500,map02060",M00275,"R11170,R11172","RC00017,RC03206","ko00000,ko00001,ko00002,ko02000",4.A.3.2,-,iYO844.BSU38390,PTS_EIIC
lp_0287,220668.lp_0287,3.35E-75,224,"29P89@1|root,30A6C@2|Bacteria,1U699@1239|Firmicutes,4IG0E@91061|Bacilli,3F7CE@33958|Lactobacillaceae",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lp_0289,220668.lp_0289,2.87E-56,174,"29PF7@1|root,30ADC@2|Bacteria,1U6HR@1239|Firmicutes,4IGA2@91061|Bacilli,3F7Y0@33958|Lactobacillaceae",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lp_0290,220668.lp_0290,1.76E-236,651,"COG1316@1|root,COG1316@2|Bacteria,1TR1B@1239|Firmicutes,4HA09@91061|Bacilli,3F3MQ@33958|Lactobacillaceae",2|Bacteria,K,Cell envelope-like function transcriptional attenuator common domain protein,brpA,-,-,-,-,-,-,-,-,-,-,-,LytR_cpsA_psr
lp_0291,220668.lp_0291,0,897,"COG0277@1|root,COG0277@2|Bacteria,1TPBC@1239|Firmicutes,4H9UU@91061|Bacilli,3F4AD@33958|Lactobacillaceae",2|Bacteria,C,"FAD linked oxidases, C-terminal domain",loxD,-,1.1.3.15,ko:K00104,"ko00630,ko01100,ko01110,ko01120,ko01130,map00630,map01100,map01110,map01120,map01130",-,R00475,RC00042,"ko00000,ko00001,ko01000",-,-,-,"FAD-oxidase_C,FAD_binding_4"
lp_0292,220668.lp_0292,2.12E-63,193,"29P6D@1|root,30A4H@2|Bacteria,1U66J@1239|Firmicutes,4IFWU@91061|Bacilli,3F76U@33958|Lactobacillaceae",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lp_0293,220668.lp_0293,2.90E-158,444,"COG2357@1|root,COG2357@2|Bacteria,1TSC9@1239|Firmicutes,4HBE0@91061|Bacilli,3FBJN@33958|Lactobacillaceae",2|Bacteria,S,RelA SpoT domain protein,ywaC,"GO:0003674,GO:0003824,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0008728,GO:0008893,GO:0009116,GO:0009117,GO:0009119,GO:0009150,GO:0009259,GO:0009605,GO:0009987,GO:0009991,GO:0015969,GO:0016020,GO:0016740,GO:0016772,GO:0016778,GO:0016787,GO:0016788,GO:0016794,GO:0019637,GO:0019693,GO:0030312,GO:0031667,GO:0033865,GO:0033875,GO:0034032,GO:0034035,GO:0034641,GO:0042278,GO:0042578,GO:0042594,GO:0044237,GO:0044238,GO:0044281,GO:0044464,GO:0046128,GO:0046483,GO:0050896,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:1901068,GO:1901135,GO:1901360,GO:1901564,GO:1901657",2.7.6.5,"ko:K00951,ko:K07816","ko00230,map00230",-,R00429,"RC00002,RC00078","ko00000,ko00001,ko01000",-,-,-,RelA_SpoT
lp_0294,220668.lp_0294,1.67E-135,383,"COG1309@1|root,COG1309@2|Bacteria,1VI1M@1239|Firmicutes,4HPZV@91061|Bacilli,3F530@33958|Lactobacillaceae",2|Bacteria,K,transcriptional regulator,-,-,-,-,-,-,-,-,-,-,-,-,"TetR_C_8,TetR_N"
lp_0295,220668.lp_0295,0,1442,"COG1511@1|root,COG2409@1|root,COG1511@2|Bacteria,COG2409@2|Bacteria,1TQ7C@1239|Firmicutes,4HBM6@91061|Bacilli,3FCCY@33958|Lactobacillaceae",2|Bacteria,S,MMPL family,ydgH,"GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006629,GO:0006790,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009605,GO:0009607,GO:0009987,GO:0030312,GO:0043207,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044272,GO:0044281,GO:0044403,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0046505,GO:0046506,GO:0050896,GO:0051701,GO:0051704,GO:0051707,GO:0052173,GO:0052200,GO:0052564,GO:0052572,GO:0071704,GO:0071944,GO:0075136,GO:1901576",-,"ko:K06994,ko:K07003",-,-,-,-,ko00000,-,-,-,MMPL
lp_0296,220668.lp_0296,8.31E-139,391,"COG2818@1|root,COG2818@2|Bacteria,1UYWG@1239|Firmicutes,4HGWW@91061|Bacilli,3F5KA@33958|Lactobacillaceae",2|Bacteria,L,glycosylase,tag,-,3.2.2.20,ko:K01246,"ko03410,map03410",-,-,-,"ko00000,ko00001,ko01000,ko03400",-,-,-,Adenine_glyco
lp_0297,220668.lp_0297,0,1370,"COG4886@1|root,COG4886@2|Bacteria,1U5IM@1239|Firmicutes,4IF9E@91061|Bacilli,3F61G@33958|Lactobacillaceae",2|Bacteria,S,Leucine-rich repeat (LRR) protein,XK27_00720,-,-,ko:K13730,"ko05100,map05100",-,-,-,"ko00000,ko00001",-,-,-,"DUF285,Flg_new,Lectin_legB,Strep_his_triad"
lp_0298,220668.lp_0298,5.27E-295,812,"COG0577@1|root,COG0577@2|Bacteria,1TPSE@1239|Firmicutes,4HDMR@91061|Bacilli,3FC8Y@33958|Lactobacillaceae",2|Bacteria,V,MacB-like periplasmic core domain,vex3,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,ko:K02004,-,M00258,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,"FtsX,MacB_PCD"
lp_0299,220668.lp_0299,4.87E-156,437,"COG1136@1|root,COG1136@2|Bacteria,1TP5M@1239|Firmicutes,4HBJW@91061|Bacilli,3F57B@33958|Lactobacillaceae",2|Bacteria,V,ABC transporter,vex2,-,-,"ko:K02003,ko:K02004",-,M00258,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,ABC_tran
lp_0300,220668.lp_0300,1.13E-171,480,"COG1266@1|root,COG1266@2|Bacteria",2|Bacteria,V,CAAX protease self-immunity,-,-,-,ko:K07052,-,-,-,-,ko00000,-,-,-,Abi
lp_0301,220668.lp_0301,1.17E-157,443,"COG1266@1|root,COG1266@2|Bacteria,1U62B@1239|Firmicutes,4IFRB@91061|Bacilli,3F6V5@33958|Lactobacillaceae",2|Bacteria,S,CAAX protease self-immunity,-,-,-,ko:K07052,-,-,-,-,ko00000,-,-,-,Abi
lp_0302,220668.lp_0302,9.85E-81,251,"COG1388@1|root,COG1388@2|Bacteria,1U5F6@1239|Firmicutes,4IF6Q@91061|Bacilli,3F5TV@33958|Lactobacillaceae",2|Bacteria,M,Lysin motif,-,-,-,-,-,-,-,-,-,-,-,-,"LysM,SLT,Transglycosylas"
lp_0304,220668.lp_0304,1.31E-97,289,"COG1388@1|root,COG1388@2|Bacteria,1V773@1239|Firmicutes,4HIJG@91061|Bacilli,3F3JQ@33958|Lactobacillaceae",2|Bacteria,M,LysM domain protein,lytE,-,-,-,-,-,-,-,-,-,-,-,LysM
lp_0305,220668.lp_0305,4.20E-88,258,"COG0509@1|root,COG0509@2|Bacteria,1U670@1239|Firmicutes,4IFXJ@91061|Bacilli,3F784@33958|Lactobacillaceae",2|Bacteria,E,Glycine cleavage H-protein,gcvH,"GO:0001505,GO:0003674,GO:0003824,GO:0005488,GO:0005504,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006464,GO:0006520,GO:0006544,GO:0006546,GO:0006629,GO:0006631,GO:0006633,GO:0006732,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008289,GO:0008610,GO:0009056,GO:0009058,GO:0009063,GO:0009069,GO:0009071,GO:0009106,GO:0009107,GO:0009108,GO:0009249,GO:0009987,GO:0010467,GO:0016053,GO:0016054,GO:0017144,GO:0018065,GO:0018130,GO:0018193,GO:0018205,GO:0019464,GO:0019538,GO:0019752,GO:0031405,GO:0031406,GO:0032787,GO:0033293,GO:0036094,GO:0036211,GO:0042133,GO:0042135,GO:0042737,GO:0043167,GO:0043168,GO:0043170,GO:0043177,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044272,GO:0044281,GO:0044282,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046395,GO:0046483,GO:0048037,GO:0050662,GO:0051186,GO:0051188,GO:0051604,GO:0065007,GO:0065008,GO:0071704,GO:0072330,GO:0097159,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901605,GO:1901606,GO:1901681",-,ko:K02437,"ko00260,ko00630,ko01100,ko01110,ko01130,ko01200,map00260,map00630,map01100,map01110,map01130,map01200",M00532,R01221,"RC00022,RC02834","ko00000,ko00001,ko00002",-,-,"iE2348C_1286.E2348C_3156,iNJ661.Rv1826,iPC815.YPO0906",GCV_H
lp_0306,220668.lp_0306,4.47E-229,629,"28MN3@1|root,2ZAXQ@2|Bacteria,1US2T@1239|Firmicutes,4HW4H@91061|Bacilli,3F55K@33958|Lactobacillaceae",2|Bacteria,-,-,sepS16B,-,-,-,-,-,-,-,-,-,-,-,-
lp_0307,220668.lp_0307,6.88E-170,474,"2EEPZ@1|root,338HP@2|Bacteria,1VJZJ@1239|Firmicutes,4HR6K@91061|Bacilli,3F55G@33958|Lactobacillaceae",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lp_0308,220668.lp_0308,0,1576,"COG1199@1|root,COG1199@2|Bacteria,1TPNB@1239|Firmicutes,4HD6T@91061|Bacilli,3F473@33958|Lactobacillaceae",2|Bacteria,KL,DEAD_2,dinG,-,"3.1.12.1,3.6.4.12","ko:K07464,ko:K10844","ko03022,ko03420,map03022,map03420",M00290,-,-,"ko00000,ko00001,ko00002,ko01000,ko02048,ko03021,ko03400",-,-,-,"DEAD,DEAD_2,HBB,Helicase_C_2,PDDEXK_1"
lp_0309,220668.lp_0309,3.01E-75,225,"29P4E@1|root,30A2M@2|Bacteria,1U63U@1239|Firmicutes,4IFTA@91061|Bacilli,3F6Z3@33958|Lactobacillaceae",2|Bacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lp_0310,220668.lp_0310,9.17E-285,778,"COG0282@1|root,COG0282@2|Bacteria,1TQ22@1239|Firmicutes,4HA7K@91061|Bacilli,3F48Z@33958|Lactobacillaceae",2|Bacteria,F,Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction,ackA,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",2.7.2.1,ko:K00925,"ko00430,ko00620,ko00640,ko00680,ko00720,ko01100,ko01120,ko01200,map00430,map00620,map00640,map00680,map00720,map01100,map01120,map01200","M00357,M00579","R00315,R01353","RC00002,RC00043","ko00000,ko00001,ko00002,ko01000",-,-,iNJ661.Rv0409,Acetate_kinase
lp_0311,220668.lp_0311,2.65E-102,296,"COG2153@1|root,COG2153@2|Bacteria,1VAJY@1239|Firmicutes,4HIH7@91061|Bacilli,3F5B8@33958|Lactobacillaceae",2|Bacteria,S,GNAT family,elaA,"GO:0003674,GO:0003824,GO:0006464,GO:0006473,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016740,GO:0016746,GO:0016747,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0043543,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:1901564",-,ko:K02348,-,-,-,-,ko00000,-,-,-,Acetyltransf_10
lp_0312,220668.lp_0312,1.24E-99,288,"COG1846@1|root,COG1846@2|Bacteria,1V3PS@1239|Firmicutes,4HFN6@91061|Bacilli,3F6VT@33958|Lactobacillaceae",2|Bacteria,K,Transcriptional regulator,-,-,-,-,-,-,-,-,-,-,-,-,"MarR,MarR_2"
lp_0313,220668.lp_0313,1.17E-288,788,"COG1252@1|root,COG1252@2|Bacteria,1TR6X@1239|Firmicutes,4HA14@91061|Bacilli,3F4N1@33958|Lactobacillaceae",2|Bacteria,C,NADH dehydrogenase,yumB,"GO:0003674,GO:0003824,GO:0003955,GO:0006091,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0015980,GO:0016491,GO:0016651,GO:0016655,GO:0019646,GO:0022900,GO:0022904,GO:0044237,GO:0045333,GO:0055114",1.6.99.3,ko:K03885,"ko00190,map00190",-,-,-,"ko00000,ko00001,ko01000",-,-,iYO844.BSU32100,Pyr_redox_2
