Name,p1,p2,p3,m1,m2,m3,accession,Gene,Product
lp_0704,204,365,198,291,321,361,NC_004567.2:646950-647279,YP_004888692.1,hypothetical protein
lp_0705,605,1049,592,742,790,1070,NC_004567.2:647296-648315,YP_004888693.1,DNA-directed DNA polymerase III subunit delta'
lp_0706,243,467,298,363,361,482,NC_004567.2:648340-648687,YP_004888694.1,DNA replication intiation control protein
lp_0707,277,480,287,370,393,525,NC_004567.2:648786-649682,YP_004888695.1,methyltransferase
lp_0708,311,543,300,406,482,546,NC_004567.2:649686-650471,YP_004888696.1,acyl-[acyl-carrier protein] thioesterase
lp_0709,1147,1896,1099,1489,1551,1982,NC_004567.2:650610-651605,YP_004888697.1,UDP-glucose 4-epimerase
lp_0710,33,47,41,37,26,43,NC_004567.2:651739-652839,YP_004888698.1,(2-aminoethyl)phosphonate-pyruvate aminotransferase
lp_0711,30,43,37,26,40,50,NC_004567.2:652861-653658,YP_004888699.1,phosphonoacetaldehyde hydrolase
lp_0712,20,26,10,26,28,38,NC_004567.2:653683-654537,YP_004888700.1,phosphonates ABC transporter permease
lp_0713,26,39,25,36,41,33,NC_004567.2:654534-655322,YP_004888701.1,phosphonates ABC transporter permease
lp_0714,64,95,71,72,79,93,NC_004567.2:655327-656097,YP_004888702.1,phosphonates ABC transporter ATP-binding protein
lp_0715,171,257,158,202,241,245,NC_004567.2:656135-657187,YP_004888703.1,phosphonates ABC transporter%2C substrate binding protein
lp_0717,432,661,387,524,572,664,NC_004567.2:657467-658192,YP_004888704.1,glycoprotein endopeptidase%2C M22 family
lp_0718,347,509,329,400,512,557,NC_004567.2:658176-658754,YP_004888705.1,ribosomal-protein-alanine N-acetyltransferase
lp_0720,309,426,283,339,376,427,NC_004567.2:658747-659202,YP_004888706.1,ribosomal-protein-alanine N-acetyltransferase
lp_0721,852,1280,744,1029,1000,1189,NC_004567.2:659207-660253,YP_004888707.1,O-sialoglycoprotein endopeptidase
lp_0723,933,1368,930,975,1053,1273,NC_004567.2:661173-663155,YP_004888708.1,ABC transporter ATP-binding protein
lp_0725,1300,2359,1445,1945,1893,2629,NC_004567.2:663324-664001,YP_004888709.1,redox-sensitive transcription regulator
lp_0726,196,390,215,322,339,440,NC_004567.2:664166-664810,YP_004888710.1,membrane-bound protease%2C CAAX family
lp_0727,5430,9778,4864,7966,9487,10626,NC_004567.2:665003-665287,YP_004888711.1,GroES co-chaperonin
lp_0728,45303,73754,42661,62502,74090,77876,NC_004567.2:665343-666968,YP_004888712.1,GroEL chaperonin
lp_0729,1068,1788,1096,1627,1702,2152,NC_004567.2:667218-669053,YP_004888713.1,amino acid transport protein
lp_0730,383,653,382,520,556,700,NC_004567.2:669269-670366,YP_004888714.1,undecaprenyl-phosphate N-acetyl-glucosaminyl transferase
lp_0733,88,85,120,119,53,154,NC_004567.2:670691-671593,YP_004888715.1,phosphate ABC transporter substrate-binding protein
lp_0734,147,200,115,151,120,190,NC_004567.2:671784-672431,YP_004888716.1,hypothetical protein
lp_0735,50,71,43,55,56,49,NC_004567.2:672498-673850,YP_004888717.1,late competence protein%2C ATP-dependent DNA helicase/translocase
lp_0736,13,22,9,17,11,15,NC_004567.2:673810-674484,YP_004888718.1,late competence protein%2Cphosphoribosyltransferase
lp_0737,12682,22557,13056,22765,22074,29332,NC_004567.2:674618-675184,YP_004888719.1,ribosomal protein S30EA
lp_0739,3348,5683,3156,3995,4526,5168,NC_004567.2:675571-677934,YP_004888720.1,Preprotein translocase subunit SecA
lp_0740,17,36,21,28,27,42,NC_004567.2:678040-678114,YP_004888721.1,peptide chain release factor 2%2C N-terminal fragment (natural frameshift)
lp_0741,873,1441,786,1004,1071,1259,NC_004567.2:678083-679156,YP_004888722.1,peptide chain release factor 2%2C C-terminal fragment (natural frameshift)
lp_0742,768,1255,681,907,978,1170,NC_004567.2:679340-680515,YP_004888723.1,membrane protein
lp_0743,531,871,510,667,720,800,NC_004567.2:680515-681243,YP_004888724.1,two-component system response regulator%2Cphosphate transport regulon
lp_0744,1579,2253,1370,1787,1820,2154,NC_004567.2:681236-682639,YP_004888725.1,two-component system histidine kinase%2C sensor protein%2C phosphate transport regulon
lp_0746,43,96,54,50,64,89,NC_004567.2:682983-683858,YP_004888726.1,phosphate ABC transporter substrate-binding protein
lp_0747,94,131,95,95,130,151,NC_004567.2:683869-684798,YP_004888727.1,phosphate ABC transporter permease
lp_0748,119,194,131,173,174,208,NC_004567.2:684788-685672,YP_004888728.1,phosphate ABC transporter permease
lp_0749,101,188,115,157,145,191,NC_004567.2:685687-686496,YP_004888729.1,phosphate ABC transporter ATP-binding protein
lp_0750,193,246,159,203,245,262,NC_004567.2:686508-687263,YP_004888730.1,phosphate ABC transporter ATP-binding protein
lp_0751,501,676,484,644,841,869,NC_004567.2:687276-687950,YP_004888731.1,phosphate transport system regulatory protein
lp_0752,189,322,221,270,351,463,NC_004567.2:688050-688361,YP_004888732.1,stress-responsive transcription regulator
lp_0753,390,764,473,583,620,797,NC_004567.2:688383-688748,YP_004888733.1,membrane protein
lp_0754,731,1328,753,1111,1228,1332,NC_004567.2:688894-689841,YP_004888734.1,bifunctional protein: HPr kinase%3B P-ser-HPr phosphatase
lp_0755,1535,2424,1493,1675,1709,1956,NC_004567.2:689860-690708,YP_004888735.1,prolipoprotein diacylglyceryl transferase
lp_0756,1907,2897,1691,2140,2149,2557,NC_004567.2:690726-691742,YP_004888736.1,glycerol-3-phosphate dehydrogenase (NAD(P)+)
lp_0757,3808,7115,4281,5775,6124,7219,NC_004567.2:691786-692706,YP_004888737.1,UTP-glucose-1-phosphate uridylyltransferase
lp_0758,348,656,300,468,400,581,NC_004567.2:692804-693484,YP_004888738.1,diguanylate cyclase/phosphodiesterase%2C EAL domain
lp_0760,77,117,63,96,131,165,NC_004567.2:693876-695288,YP_004888739.1,NADH oxidase
lp_0761,1140,1917,1059,1766,2015,2336,NC_004567.2:695481-696419,YP_004888740.1,thioredoxin reductase
lp_0762,112,192,98,132,177,197,NC_004567.2:696525-697157,YP_004888741.1,membrane protein
lp_0763,43,100,72,71,88,94,NC_004567.2:697158-697610,YP_004888742.1,hypothetical protein
lp_0764,5452,9832,5650,8247,9956,11340,NC_004567.2:697829-699556,YP_004888743.1,phosphoglucomutase
lp_0765,186,305,179,253,319,357,NC_004567.2:699680-700390,YP_004888744.1,diguanylate cyclase/phosphodiesterase%2C EAL domain
lp_0766,191,326,158,269,249,282,NC_004567.2:700544-701902,YP_004888745.1,NADH oxidase
lp_0769,79,99,68,71,95,100,NC_004567.2:702348-702905,YP_004888746.1,D-alanyl-D-alanine dipeptidase
lp_0770,95,151,104,132,94,124,NC_004567.2:703075-704271,YP_004888747.1,multidrug transport protein%2C major facilitator superfamily (MFS)
lp_0771,140,296,143,191,248,285,NC_004567.2:704377-705024,YP_004888748.1,metal-dependent phosphohydrolase%2C HD family
lp_0772,1289,2164,1204,1547,1850,1966,NC_004567.2:705173-707176,YP_004888749.1,excinuclease ABC subunit B
lp_0773,2861,4765,2706,3767,4137,4456,NC_004567.2:707211-710066,YP_004888750.1,excinuclease ABC subunit A
lp_0774,2268,3990,2195,3129,3711,4267,NC_004567.2:710127-710603,YP_004888751.1,S-ribosylhomocysteine lyase/autoinducer production protein LuxS
lp_0775,279,473,289,289,358,424,NC_004567.2:710941-712176,YP_004888752.1,argininosuccinate synthase
lp_0776,388,629,390,414,443,491,NC_004567.2:712176-713579,YP_004888753.1,argininosuccinate lyase
lp_0778,400,826,421,673,877,937,NC_004567.2:713781-714317,YP_004888754.1,membrane protein
lp_0779,1214,2069,1166,1546,2204,2143,NC_004567.2:714514-715398,YP_004888755.1,P-loop ATPase family protein
lp_0780,2352,4069,2164,3170,3900,4038,NC_004567.2:715395-716396,YP_004888756.1,hypothetical protein
lp_0781,2410,4431,2371,3784,4665,5031,NC_004567.2:716409-717341,YP_004888757.1,hypothetical protein
lp_0783,5359,10192,6197,6293,6527,7521,NC_004567.2:717766-719418,YP_004888758.1,oligopeptide ABC transporter substrate binding protein
lp_0785,128,228,123,168,206,236,NC_004567.2:719630-720604,YP_004888759.1,2-hydroxyacid dehydrogenase
lp_0786,5269,8158,4462,7466,7879,9871,NC_004567.2:720763-721353,YP_004888760.1,endopeptidase Clp%2C proteolytic subunit
lp_0787,148,284,168,237,262,320,NC_004567.2:722326-723663,YP_004888761.1,DNA-directed RNA polymerase%2C sigma factor 54
lp_0788,6774,11789,6764,9133,8699,9933,NC_004567.2:723880-724911,YP_004888762.1,central glycolytic genes regulator
lp_0789,71456,116496,74377,100999,122355,125169,NC_004567.2:724978-726000,YP_004888763.1,glyceraldehyde 3-phosphate dehydrogenase
lp_0790,20334,30869,19087,24736,30303,29813,NC_004567.2:726121-727323,YP_004888764.1,phosphoglycerate kinase
lp_0791,13114,20360,12489,16563,21146,20458,NC_004567.2:727350-728108,YP_004888765.1,triosephosphate isomerase
lp_0792,31764,48686,29929,41220,49389,49790,NC_004567.2:728190-729518,YP_004888766.1,enolase (phosphopyruvate hydratase)
lp_0792a,5,14,6,14,10,21,NC_004567.2:729666-729914,YP_004888767.1,hypothetical protein
lp_0793,135,227,124,170,164,230,NC_004567.2:729809-730540,YP_004888768.1,hypothetical protein
lp_0794,382,600,365,437,465,554,NC_004567.2:730557-732110,YP_004888769.1,chloride channel protein
lp_0795,803,1660,738,1485,1416,1841,NC_004567.2:732210-732446,YP_004888770.1,preprotein translocase subunit SecG
lp_0796,740,1186,661,982,1032,1141,NC_004567.2:732495-733244,YP_004888771.1,carboxylesterase
lp_0797,2911,4614,2782,3632,4325,4443,NC_004567.2:733253-735688,YP_004888772.1,exoribonuclease II
lp_0799,735,1136,741,918,891,1119,NC_004567.2:735714-736184,YP_004888773.1,SSRA RNA binding protein
lp_0800,311,422,292,275,281,337,NC_004567.2:736644-743063,YP_004888774.1,cell surface protein precursor%2C LPXTG-motif cell wall anchor
lp_0802,665,966,662,1028,1016,1296,NC_004567.2:743456-744892,YP_004888775.1,polar amino acid ABC transporter%2C substrate binding and permease protein
lp_0803,694,943,709,1178,1212,1536,NC_004567.2:744895-745629,YP_004888776.1,glutamine ABC transporter ATP-binding protein
lp_0804,472,696,390,601,589,743,NC_004567.2:745903-746466,YP_004888777.1,hypothetical protein
lp_0805,509,800,453,692,757,890,NC_004567.2:746490-747359,YP_004888778.1,hydrolase%2C HAD superfamily%2C Cof family
lp_0806,700,1134,728,922,1075,1183,NC_004567.2:747475-748167,YP_004888779.1,uracil-DNA glycosylase
lp_0807,1674,2512,1441,2069,2179,2449,NC_004567.2:748191-749168,YP_004888780.1,phosphate acetyltransferase
lp_0809,100,168,87,130,158,193,NC_004567.2:749278-749739,YP_004888781.1,ATP/GTP hydrolase
lp_0810,145,230,131,177,219,237,NC_004567.2:749745-750260,YP_004888782.1,GNAT family acetyltransferase
lp_0811,467,725,442,629,705,821,NC_004567.2:750484-751020,YP_004888783.1,DNA-directed DNA polymerase III subunit epsilon
lp_0812,466,751,501,530,641,673,NC_004567.2:751083-751847,YP_004888784.1,exodeoxyribonuclease III
lp_0813,392,580,350,430,494,532,NC_004567.2:752169-753071,YP_004888785.1,oxidoreductase%2C NAD-dependent
lp_0814,912,1612,921,1304,1533,1585,NC_004567.2:753243-754151,YP_004888786.1,UDP-N-acetylmuramate dehydrogenase
lp_0815,657,1140,640,902,976,1152,NC_004567.2:754185-756314,YP_004888787.1,Na(+)/H(+) antiporter
lp_0816,94,266,131,193,214,289,NC_004567.2:756453-756965,YP_004888788.1,MarR family transcriptional regulator
lp_0817,277,436,302,289,347,443,NC_004567.2:757041-757706,YP_004888789.1,membrane protein
lp_0818,532,1030,580,820,843,967,NC_004567.2:757891-758733,YP_004888790.1,membrane protein
lp_0819,745,1202,696,920,997,1160,NC_004567.2:758730-759707,YP_004888791.1,cell surface protein%2C YbbR-like family
lp_0820,1964,3228,1890,2610,3020,3560,NC_004567.2:759739-761094,YP_004888792.1,phosphoglucosamine mutase
lp_0822,4478,7979,4486,6875,8246,9462,NC_004567.2:761632-763449,YP_004888793.1,glutamine-fructose-6-phosphate transaminase
lp_0823,393,705,393,433,428,522,NC_004567.2:763643-764314,YP_004888794.1,diguanylate cyclase/phosphodiesterase%2C EAL domain
lp_0824,778,1233,680,893,905,1025,NC_004567.2:764445-765260,YP_004888795.1,hydrolase%2C HAD superfamily%2C Cof family
lp_0825,61,145,74,116,161,175,NC_004567.2:765338-765925,YP_004888796.1,TetR family transcriptional regulator
lp_0826,220,384,179,285,299,400,NC_004567.2:766261-767310,YP_004888797.1,aldose 1-epimerase
lp_0827,139,381,139,254,201,362,NC_004567.2:768017-768325,YP_004888798.1,hypothetical protein
lp_0828,96,192,94,101,144,127,NC_004567.2:768571-768996,YP_004888799.1,hypothetical protein
lp_0829,199,317,196,235,233,307,NC_004567.2:768997-769749,YP_004888800.1,nitroreductase family protein
lp_0834,310,389,248,301,321,357,NC_004567.2:772280-773806,YP_004888803.1,glycerol kinase
lp_0835,21,32,23,24,32,50,NC_004567.2:774111-774893,YP_004888804.1,hypothetical protein
lp_0836,230,632,256,394,320,501,NC_004567.2:775287-775709,YP_004888805.1,RNA polymerase (RNAP)-binding regulatory protein%2C arsenate reductase (ArsC) family%2C Spx subfamily
lp_0837,368,786,338,658,664,1018,NC_004567.2:775978-776208,YP_004888806.1,hypothetical protein
lp_0838,57,95,70,65,63,88,NC_004567.2:776388-776900,YP_004888807.1,membrane protein
lp_0840,52,74,43,56,63,78,NC_004567.2:777016-778449,YP_004888808.1,multi drug transporter%2C major facilitator superfamily (MFS)%2C EmrB/QacA subfamily
lp_0841,510,753,497,633,787,914,NC_004567.2:778619-779572,YP_004888809.1,exopolyphosphatase
lp_0842,1035,1640,1044,1207,1390,1689,NC_004567.2:779575-781731,YP_004888810.1,polyphosphate kinase
lp_0843,428,771,454,495,704,881,NC_004567.2:781732-783261,YP_004888811.1,exopolyphosphatase
lp_0844,151,301,165,198,228,276,NC_004567.2:783586-784395,YP_004888812.1,lipooligosaccharide cholinephosphotransferase
lp_0845,4,14,5,6,5,10,NC_004567.2:784564-785037,YP_004888813.1,MarR family transcriptional regulator
lp_0846,19,67,21,44,54,51,NC_004567.2:785252-785413,YP_004888814.1,hypothetical protein
lp_0848,125,171,122,160,175,167,NC_004567.2:785693-787000,YP_004888815.1,purine transport protein
lp_0849,275,439,259,387,452,453,NC_004567.2:787618-789357,YP_004888816.1,pyruvate oxidase
lp_0850,17,47,15,33,26,38,NC_004567.2:789498-790346,YP_004888817.1,bifunctional protein: riboflavin kinase%3B FMN adenylyltransferase
lp_0852,828,1227,749,1030,937,1286,NC_004567.2:790675-792438,YP_004888818.1,pyruvate oxidase
lp_0853,1210,1995,1225,1671,1813,2233,NC_004567.2:792560-793468,YP_004888819.1,prolyl aminopeptidase
lp_0854,513,909,486,747,747,973,NC_004567.2:793923-794912,YP_004888820.1,biotin-[acetyl-CoA-carboxylase] ligase and biotin operon repressor
lp_0856,1564,2792,1595,2118,2632,3109,NC_004567.2:795334-797316,YP_004888821.1,acyltransferase
lp_0857,751,1196,664,1032,1192,1292,NC_004567.2:797481-799922,YP_004888822.1,Xaa-Pro dipeptidyl-peptidase
lp_0858,113,194,107,176,197,206,NC_004567.2:800042-800461,YP_004888823.1,redox protein%2C regulator of disulfide bond formation
lp_0860,128,200,125,216,245,292,NC_004567.2:800579-800872,YP_004888824.1,transposase%2C fragment
lp_0861,1417,2179,1225,1392,1504,1661,NC_004567.2:801023-802420,YP_004888825.1,branched-chain amino acid permease
lp_0862,8,23,7,10,28,27,NC_004567.2:802926-803399,YP_004888826.1,hypothetical protein
lp_0863,111,168,82,137,139,195,NC_004567.2:803763-804581,YP_004888827.1,pyridoxine kinase
lp_0864,162,322,178,300,301,432,NC_004567.2:804635-805054,YP_004888828.1,phosphohydrolase
lp_0865,380,762,342,799,601,1014,NC_004567.2:805131-805280,YP_004888829.1,hypothetical protein
lp_0866,86,172,79,113,110,162,NC_004567.2:805431-806012,YP_004888830.1,guanylate kinase
lp_0868,180,382,148,280,317,420,NC_004567.2:806123-806566,YP_004888831.1,metal uptake regulator
lp_0869,290,472,295,384,401,556,NC_004567.2:806708-807217,YP_004888832.1,extracellular protein%2C Ser/Thr-rich
lp_0871,511,894,586,762,734,1058,NC_004567.2:807221-808039,YP_004888833.1,membrane protein
lp_0872,191,274,147,265,267,330,NC_004567.2:808188-808814,YP_004888834.1,phosphohydrolase
lp_0874,215,324,163,234,279,319,NC_004567.2:809220-810851,YP_004888835.1,bifunctional protein: aminotransferase (pyridoxal-phosphate-dependent)%3B 2-hydroxyacid dehydrogenase
lp_0875,53,92,42,71,45,81,NC_004567.2:811085-811336,YP_004888836.1,hypothetical protein
lp_0878,570,1054,564,892,1200,1099,NC_004567.2:811869-812609,YP_004888837.1,glutamine ABC transporter ATP-binding protein
lp_0881,569,958,538,783,805,863,NC_004567.2:812630-813466,YP_004888838.1,glutamine ABC transporter%2C substrate binding protein
lp_0882,503,844,439,703,779,835,NC_004567.2:813466-814107,YP_004888839.1,glutamine ABC transporter%2C permease protein
lp_0883,520,943,490,881,1046,1309,NC_004567.2:814124-814777,YP_004888840.1,glutamine ABC transporter%2C permease protein
lp_0884,17,36,16,28,22,39,NC_004567.2:815041-815532,YP_004888841.1,PTS system transporter subunit IIA
lp_0885,26,45,24,34,30,58,NC_004567.2:815558-816400,YP_004888842.1,transcription antiterminator%2C BlgB family
lp_0886,34,84,38,44,73,84,NC_004567.2:816428-817879,YP_004888843.1,PTS system%2C beta-glucosides-specific EIIBC component
lp_0887,26,49,27,43,43,52,NC_004567.2:817886-818644,YP_004888844.1,PTS-related protein
lp_0888,222,270,183,246,259,388,NC_004567.2:818779-820110,YP_004888845.1,threonine transporter%2C APC family
lp_0889,59,87,57,92,78,119,NC_004567.2:820381-820821,YP_004888846.1,MarR family transcriptional regulator
lp_0891,227,434,232,372,371,424,NC_004567.2:821092-821973,YP_004888847.1,anion exporter%2C TauE/SafE family
lp_0892,33,38,27,23,16,28,NC_004567.2:822110-822550,YP_004888848.1,MarR family transcriptional regulator
lp_0893,100,155,93,123,108,131,NC_004567.2:822547-823704,YP_004888849.1,multidrug transport protein%2C major facilitator superfamily (MFS)
lp_0894,171,243,175,201,179,228,NC_004567.2:823824-824585,YP_004888850.1,anion exporter%2C TauE/SafE family
lp_0895,50,82,54,64,57,84,NC_004567.2:824670-825230,YP_004888851.1,TetR family transcriptional regulator
lp_0896,876,1151,691,916,1010,1240,NC_004567.2:825342-826637,YP_004888852.1,GTPase%2C HflX subfamily
lp_0897,55,98,38,73,61,111,NC_004567.2:826726-827163,YP_004888853.1,phosphohydrolase
lp_0898,4,3,4,4,8,6,NC_004567.2:827305-827619,YP_004888854.1,cation transporter%2C small multidrug resistance (SMR) family
lp_0899,1552,3228,1785,3260,3898,4688,NC_004567.2:827925-828125,YP_004888855.1,membrane protein
lp_0900,408,556,403,488,498,633,NC_004567.2:828442-829119,YP_004888856.1,phosphoglycerate mutase family protein
lp_0901,313,440,254,392,410,483,NC_004567.2:829134-829790,YP_004888857.1,phosphoglycerate mutase family protein
lp_0902,641,972,667,981,1164,1184,NC_004567.2:829861-831717,YP_004888858.1,Na(+)/H(+) antiporter
lp_0903,261,448,248,414,450,545,NC_004567.2:831739-832812,YP_004888859.1,phosphohydrolase
lp_0904,8,20,10,6,23,31,NC_004567.2:832966-833808,YP_004888860.1,transcription antiterminator%2C BglB family
lp_0905,18,43,35,48,61,57,NC_004567.2:833820-835682,YP_004888861.1,PTS system%2C beta-glucosides-specific EIIBCA component
lp_0906,37,83,35,77,68,80,NC_004567.2:835697-837199,YP_004888862.1,6-phospho-beta-glucosidase
lp_0907,58,91,60,99,82,123,NC_004567.2:837249-837893,YP_004888863.1,membrane protein
lp_0910,1578,2465,1382,2142,2476,2860,NC_004567.2:838125-840431,YP_004888864.1,DNA helicase
lp_0911,0,3,0,0,1,0,NC_004567.2:840600-842333,YP_004888865.1,transposase
lp_0912,41,79,24,58,71,64,NC_004567.2:842493-843422,YP_004888866.1,enoyl-[acyl-carrier protein] reductase (NADH)
lp_0913,202,409,186,403,418,458,NC_004567.2:843591-844520,YP_004888867.1,pantothenate kinase
lp_0914,5260,8045,4956,6766,7497,8549,NC_004567.2:844614-846170,YP_004888868.1,GMP synthase
lp_0915,6,8,4,5,8,10,NC_004567.2:846496-846864,YP_004888869.1,phage protein
lp_0917,3,4,2,4,0,7,NC_004567.2:847098-847466,YP_004888870.1,phage Cro/CI family transcriptional regulator
lp_0918,325,545,353,432,555,564,NC_004567.2:848003-850966,YP_004888871.1,superfamily I DNA/RNA helicase
lp_0919,203,345,188,315,328,323,NC_004567.2:851268-851960,YP_004888872.1,membrane-bound protease%2C CAAX family
lp_0921,56,139,75,110,87,142,NC_004567.2:852180-852524,YP_004888873.1,MarR family transcriptional regulator
lp_0922,283,546,298,364,467,492,NC_004567.2:852656-853954,YP_004888874.1,carbohydrate (prephenate-like) transport protein%2C major facilitator superfamily (MFS)
lp_0923,582,813,465,612,629,721,NC_004567.2:854228-856648,YP_004888875.1,cell surface protein precursor%2C LPXTG-motif cell wall anchor
lp_0924,20,42,18,28,17,29,NC_004567.2:857133-857516,YP_004888876.1,extracellular protein%2C MORN repeat family
lp_0925,235,444,247,302,304,369,NC_004567.2:857506-859353,YP_004888877.1,acyltransferase
lp_0926,1753,3747,1666,2820,3601,3645,NC_004567.2:859595-859849,YP_004888878.1,membrane protein
lp_0927,8686,15452,8792,12059,15660,14828,NC_004567.2:859861-860406,YP_004888879.1,membrane protein
lp_0928,2047,3659,2039,2711,3475,3576,NC_004567.2:860419-860601,YP_004888880.1,hypothetical protein
lp_0929,5993,10371,6049,7747,9068,10059,NC_004567.2:860616-861038,YP_004888881.1,alkaline shock protein
lp_0930,5549,10364,5726,7598,8594,10088,NC_004567.2:861099-861539,YP_004888882.1,alkaline shock protein
lp_0931,366,634,355,551,562,705,NC_004567.2:861713-862543,YP_004888883.1,fumarylacetoacetate hydrolase family protein
lp_0932,128,193,102,136,138,199,NC_004567.2:862674-863684,YP_004888884.1,extracellular lipoprotein precursor
lp_0934,34,47,29,50,66,78,NC_004567.2:864045-864377,YP_004888885.1,PTS system transporter subunit IIA
lp_0935,41,61,43,77,54,101,NC_004567.2:864484-865056,YP_004888886.1,hypothetical protein
lp_0937,3949,6121,3668,5076,5472,6081,NC_004567.2:865238-867772,YP_004888887.1,membrane alanine aminopeptidase (aminopeptidase N)
lp_0938,443,870,462,632,900,997,NC_004567.2:868000-870873,YP_004888888.1,type I restriction-modification system%2Crestriction subunit
lp_0939,464,784,471,683,866,900,NC_004567.2:870887-872473,YP_004888889.1,type I restriction-modification system%2Cmethylation subunit
lp_0940,260,451,270,424,450,557,NC_004567.2:872470-873612,YP_004888890.1,type I restriction-modification system%2Cspecificity subunit
lp_0941,15,37,17,31,41,37,NC_004567.2:873764-874681,YP_004888891.1,phage integrase
lp_0942,2,4,0,6,4,1,NC_004567.2:874692-875078,YP_004888892.1,type I restriction-modification system%2Cspecificity subunit (fragment)
lp_0943,4,5,1,4,4,3,NC_004567.2:875320-875811,YP_004888893.1,type I restriction-modification system%2Cspecificity subunit (fragment)
lp_0945,4,20,7,14,14,16,NC_004567.2:876125-876655,YP_004888894.1,histidine phosphatase superfamily protein
lp_0946,96,160,90,117,127,141,NC_004567.2:876779-880348,YP_004888895.1,mucus-binding protein%2C LPXTG-motif cell wall anchor
lp_0947,0,10,1,5,8,10,NC_004567.2:880554-880676,YP_004888896.1,hypothetical protein
lp_0948,37,60,22,59,68,68,NC_004567.2:880765-881259,YP_004888897.1,hypothetical protein
lp_0949,58,91,57,88,136,109,NC_004567.2:881328-882080,YP_004888898.1,Cro/CI family transcriptional regulator
lp_0950,48,138,63,109,91,120,NC_004567.2:882180-882731,YP_004888899.1,Cro/CI family transcriptional regulator
lp_0951,50,71,44,81,99,107,NC_004567.2:882802-883728,YP_004888900.1,LysR family transcriptional regulator
lp_0952,78,134,79,140,139,172,NC_004567.2:883915-885804,YP_004888901.1,fumarate reductase%2C flavoprotein subunit
lp_0954,86,106,74,92,97,101,NC_004567.2:886080-886553,YP_004888902.1,MarR family transcriptional regulator
lp_0955,33,59,46,47,51,85,NC_004567.2:886662-887291,YP_004888903.1,FMN-dependent NADH-azoreductase
lp_0956,552,851,465,699,679,696,NC_004567.2:887462-888757,YP_004888904.1,asparagine-tRNA synthetase
lp_0957,395,686,367,477,582,570,NC_004567.2:888834-889802,YP_004888905.1,aspartate-ammonia ligase
lp_0959,1078,1583,977,1463,1606,1743,NC_004567.2:890255-891661,YP_004888906.1,dipeptidase
lp_0960,76,122,70,88,119,123,NC_004567.2:891697-892929,YP_004888907.1,hypothetical protein
lp_0960a,18,31,14,35,19,47,NC_004567.2:892980-893246,YP_004888908.1,hypothetical protein
lp_0961,26,76,13,26,41,45,NC_004567.2:893466-893663,YP_004888909.1,transposase%2C fragment
lp_0962,447,714,426,494,556,679,NC_004567.2:893921-895729,YP_004888910.1,ATP-dependent DNA helicase RecQ
lp_0963,353,539,290,367,364,450,NC_004567.2:895772-896653,YP_004888911.1,ribosomal large subunit pseudouridine synthase
lp_0965,82,138,95,144,110,167,NC_004567.2:896845-897171,YP_004888912.1,ArsR family transcriptional regulator
lp_0966,31,77,37,47,44,79,NC_004567.2:897525-898289,YP_004888913.1,NADPH-dependent FMN reductase
lp_0967,168,291,189,221,227,264,NC_004567.2:898709-899710,YP_004888914.1,hypothetical protein
lp_0968,361,638,320,514,584,630,NC_004567.2:899674-900924,YP_004888915.1,membrane protein
lp_0969,266,398,220,340,326,399,NC_004567.2:900921-901685,YP_004888916.1,membrane protein
lp_0970,481,930,394,746,749,904,NC_004567.2:901736-902305,YP_004888917.1,GNAT family acetyltransferase
lp_0971,246,494,277,427,470,541,NC_004567.2:902437-903105,YP_004888918.1,phosphoglycerate mutase family protein
lp_0972,60,133,59,136,126,186,NC_004567.2:903314-903643,YP_004888919.1,bacteriocin immunity protein
lp_0973,13,22,13,19,17,18,NC_004567.2:903787-904803,YP_004888920.1,esterase (short chain)
lp_0975,19,47,30,31,37,36,NC_004567.2:904787-906187,YP_004888921.1,carbohydrate (isoprimoverose-like)/proton symporter%2C GPH family
lp_0977,1181,1603,986,1411,1540,1816,NC_004567.2:906531-908012,YP_004888922.1,UDP-N-acetylmuramoylalanyl-D-glutamate--2%2C6-diaminopimelate ligase
lp_0979,2300,3317,2073,3133,2864,3547,NC_004567.2:908207-909409,YP_004888923.1,aspartate kinase
lp_0980,4293,6656,4092,6202,7018,7367,NC_004567.2:909414-911315,YP_004888924.1,asparagine synthase
lp_0981,66,135,76,114,140,155,NC_004567.2:911786-912112,YP_004888925.1,branched-chain amino acid transport protein
lp_0982,110,150,82,136,189,201,NC_004567.2:912109-912810,YP_004888926.1,branched-chain amino acid transport protein
lp_0984,150,289,152,310,352,497,NC_004567.2:913141-913359,YP_004888927.1,hypothetical protein
lp_0988,50,71,27,64,93,77,NC_004567.2:914344-915486,YP_004888928.1,extracellular lipoprotein precursor%2C Asp-rich
lp_0989,9,13,12,12,11,18,NC_004567.2:915669-915926,YP_004888929.1,membrane protein
lp_0990,135,194,122,200,204,260,NC_004567.2:916256-916978,YP_004888930.1,hypothetical protein
lp_0991,242,349,229,299,388,378,NC_004567.2:916978-918456,YP_004888931.1,multidrug transport protein%2C major facilitator superfamily (MFS)
lp_0992,44,68,29,67,54,85,NC_004567.2:918586-919050,YP_004888932.1,MerR family transcriptional regulator
lp_0995,496,1017,461,968,1050,1366,NC_004567.2:919554-919898,YP_004888933.1,hypothetical protein
lp_0996,668,1137,701,975,1291,1476,NC_004567.2:920110-920757,YP_004888934.1,metal-dependent regulator
